New Tripoli tab-delimited output of processed data for:
23-PP-5 z30 Pb-2399 in New Session-23-PP-5 z30 Pb-2399-report.tsv
produced on: 03/19/26 07:54:24

Data is presented by cycles.
Any discarded values are wrapped in &s.
Any missing values are represented as a blank entry.

Cycle            	Time             	204Pb            	205Pb            	206Pb            	207Pb            	208Pb            	204/205          	206/205          	207/205          	208/205          	206/207          	206/208          	207/208          	206/204          	207/204          	208/204          	alpha 204/206    	alpha 207/206    	alpha 208/206
1.0              	220.058          	57.43641042      	108050.4308      	556653.1451      	27970.92212      	122734.7047      	5.315703971E-4   	5.151790149      	0.2588691402     	1.13590204       	19.90113671      	4.535417642      	0.2278974165     	9691.642306      	486.9893838      	2136.879792      	1.0              	-82.24617126     	368.7637041
2.0              	255.956          	60.21949519      	108393.4759      	558355.1026      	27966.88903      	122985.4263      	5.555638352E-4   	5.151187356      	0.2580126598     	1.134620191      	19.96486281      	4.540010303      	0.2274000251     	9271.999057      	464.4158663      	2042.285906      	1.0              	-82.24409371     	370.153802
3.0              	291.857          	59.90492926      	108502.7546      	559099.2902      	28030.48928      	123013.9401      	5.521051469E-4   	5.15285803       	0.2583389646     	1.13374025       	19.94611241      	4.54500758       	0.227864332      	9333.109932      	467.9162404      	2053.486109      	1.0              	-82.24985057     	369.6231109
4.0              	327.75           	59.41477152      	108629.867       	560096.4622      	28047.76695      	122943.8854      	5.469469231E-4   	5.15600799       	0.258195722      	1.131768719      	19.96937807      	4.555708161      	0.2281347043     	9426.889103      	472.0672357      	2069.247803      	1.0              	-82.26069467     	369.8559106
5.0              	363.663          	57.47598934      	108712.4146      	560365.8066      	28147.76606      	123294.8291      	5.286975693E-4   	5.154570514      	0.2589195188     	1.134137528      	19.90800284      	4.544925449      	0.2282964035     	9749.56348       	489.7308665      	2145.153664      	1.0              	-82.25574764     	368.6822242
6.0              	399.576          	58.29858748      	108812.8204      	560906.1227      	28182.61859      	123750.0374      	5.357694732E-4   	5.154779745      	0.2590009015     	1.137274421      	19.90255522      	4.532573361      	0.2277382632     	9621.264373      	483.4185493      	2122.69358       	1.0              	-82.25646787     	368.5506667
7.0              	435.473          	57.97721152      	108870.6787      	561070.8741      	28275.9313       	123720.422       	5.325328383E-4   	5.153553564      	0.2597203549     	1.136398004      	19.84270184      	4.53498998       	0.2285470001     	9677.438072      	487.7076796      	2133.949163      	1.0              	-82.25224617     	367.3912363
8.0              	471.381          	57.47847849      	108741.8925      	561187.5733      	28255.51937      	123649.1881      	5.285771396E-4   	5.160730243      	0.2598402393     	1.137088801      	19.86116645      	4.538546364      	0.2285135859     	9763.438213      	491.5843306      	2151.22584       	1.0              	-82.27692677     	367.1986613
9.0              	507.293          	57.54807097      	108743.6236      	560845.3694      	28096.43131      	123721.0774      	5.292086936E-4   	5.157501202      	0.2583731384     	1.137731789      	19.96144504      	4.533143268      	0.2270949453     	9745.684954      	488.2254233      	2149.873582      	1.0              	-82.2658306      	369.5676093
10.0             	543.197          	58.2080432       	108763.3008      	560633.8203      	28061.84464      	123594.6618      	5.351809181E-4   	5.154623076      	0.2580083946     	1.136363653      	19.97850916      	4.536068241      	0.227047384      	9631.552437      	482.0956538      	2123.326177      	1.0              	-82.25592858     	370.1607477
11.0             	816.518          	58.28441854      	108687.8155      	560970.0394      	28083.2682       	123558.8069      	5.362553133E-4   	5.161296479      	0.2583846963     	1.136822986      	19.97524061      	4.540105667      	0.2272866573     	9624.699936      	481.8314895      	2119.928619      	1.0              	-82.27887114     	369.5488415
12.0             	852.424          	57.60098233      	108588.4964      	560159.2353      	28069.46746      	123648.576       	5.304519745E-4   	5.158550434      	0.2584939325     	1.138689457      	19.95617608      	4.530252216      	0.2270100342     	9724.820874      	487.3088328      	2146.640057      	1.0              	-82.26943767     	369.3715455
13.0             	888.332          	59.08680934      	108479.1803      	559106.5546      	28044.66405      	123426.806       	5.446834053E-4   	5.154044793      	0.2585257739     	1.137792576      	19.93628997      	4.529863266      	0.2272169633     	9462.45974       	474.6349373      	2088.906262      	1.0              	-82.2539377      	369.3198936
14.0             	924.238          	57.98877175      	108327.3923      	557897.7118      	28058.05194      	123165.954       	5.353103264E-4   	5.150107464      	0.2590116067     	1.136978851      	19.88369374      	4.529642272      	0.2278068819     	9620.78856       	483.8531856      	2123.962111      	1.0              	-82.24037059     	368.5333675
15.0             	960.14           	60.34061109      	107990.7874      	556748.0115      	27903.42211      	122673.6128      	5.587570252E-4   	5.155513958      	0.2583870605     	1.135963686      	19.95267854      	4.53844962       	0.2274606695     	9226.75461       	462.431878       	2033.019067      	1.0              	-82.25899479     	369.5450027
