Version,1.00
Filename,SyntheticData_v2
Sample No,7
Sample ID,SyntheticDataSet1
Sample Type,
Analysis name,
User name,
Method name,syntheticdata_v2.m
MS Tune file,
Inlet file,
Serial Number,2019
Centre Channel,RM
DataDump Level,CSV-RAW
Acquire Date,
Cycles per Block,15
Num. Blocks,100
Num. Sequences,2
#START
ID,Block,Cycle,Integ,Time,Mass,Low5,Low4,Low3,Low2,Ax Fara,Axial,High1,High2,High3,High4
BL1,1,0,1,0,205.500,0,0,0,0,30653.8611,0,-9110.1752,0,0,0
BL1,1,0,2,0.1,205.500,0,0,0,0,34811.7035,0,-5261.9759,0,0,0
BL1,1,0,3,0.2,205.500,0,0,0,0,33136.0927,0,-10355.4247,0,0,0
BL1,1,0,4,0.3,205.500,0,0,0,0,29444.5085,0,-8528.607,0,0,0
BL1,1,0,5,0.4,205.500,0,0,0,0,31415.1402,0,-11790.9357,0,0,0
BL1,1,0,6,0.5,205.500,0,0,0,0,29085.58,0,-7094.6069,0,0,0
BL1,1,0,7,0.6,205.500,0,0,0,0,33286.4478,0,-9418.8218,0,0,0
BL1,1,0,8,0.7,205.500,0,0,0,0,26926.0061,0,-7371.7517,0,0,0
BL1,1,0,9,0.8,205.500,0,0,0,0,28353.0183,0,-16962.4308,0,0,0
BL1,1,0,10,0.9,205.500,0,0,0,0,26903.5314,0,-9992.6202,0,0,0
BL1,1,0,11,1,205.500,0,0,0,0,36233.7924,0,-7201.1077,0,0,0
BL1,1,0,12,1.1,205.500,0,0,0,0,28793.0356,0,-16751.8433,0,0,0
BL1,1,0,13,1.2,205.500,0,0,0,0,26032.4275,0,-14756.1783,0,0,0
BL1,1,0,14,1.3,205.500,0,0,0,0,35607.3032,0,-14348.5514,0,0,0
BL1,1,0,15,1.4,205.500,0,0,0,0,24949.5235,0,-16830.6249,0,0,0
BL1,1,0,16,1.5,205.500,0,0,0,0,30547.9019,0,-12419.1567,0,0,0
BL1,1,0,17,1.6,205.500,0,0,0,0,31460.4952,0,-10763.373,0,0,0
BL1,1,0,18,1.7,205.500,0,0,0,0,30656.4592,0,-769.7503,0,0,0
BL1,1,0,19,1.8,205.500,0,0,0,0,21056.5079,0,-8256.4761,0,0,0
BL1,1,0,20,1.9,205.500,0,0,0,0,35735.1246,0,-13898.4804,0,0,0
BL1,1,0,21,2,205.500,0,0,0,0,37263.1053,0,-786.1718,0,0,0
BL1,1,0,22,2.1,205.500,0,0,0,0,33014.2187,0,-3194.2431,0,0,0
BL1,1,0,23,2.2,205.500,0,0,0,0,28626.4496,0,-11567.5491,0,0,0
BL1,1,0,24,2.3,205.500,0,0,0,0,33000.4569,0,-10400.6059,0,0,0
BL1,1,0,25,2.4,205.500,0,0,0,0,34774.2795,0,-10413.0326,0,0,0
BL1,1,0,26,2.5,205.500,0,0,0,0,18230.5672,0,-8133.2948,0,0,0
