Version,1.00
Filename,SyntheticData_v2
Sample No,7
Sample ID,SyntheticDataSet1
Sample Type,
Analysis name,
User name,
Method name,syntheticdata_v2.m
MS Tune file,
Inlet file,
Serial Number,2019
Centre Channel,RM
DataDump Level,CSV-RAW
Acquire Date,
Cycles per Block,15
Num. Blocks,100
Num. Sequences,2
#START
ID,Block,Cycle,Integ,Time,Mass,Low5,Low4,Low3,Low2,Ax Fara,Axial,High1,High2,High3,High4
BL1,1,0,1,0,205.500,0,0,0,0,28171.239,0,-3771.993,0,0,0
BL1,1,0,2,0.1,205.500,0,0,0,0,33254.544,0,-6128.3405,0,0,0
BL1,1,0,3,0.2,205.500,0,0,0,0,39018.4164,0,-6487.29,0,0,0
BL1,1,0,4,0.3,205.500,0,0,0,0,27905.0493,0,-12632.1442,0,0,0
BL1,1,0,5,0.4,205.500,0,0,0,0,28660.8996,0,-13257.7866,0,0,0
BL1,1,0,6,0.5,205.500,0,0,0,0,27598.9555,0,-7024.9984,0,0,0
BL1,1,0,7,0.6,205.500,0,0,0,0,32752.1793,0,-9333.4987,0,0,0
BL1,1,0,8,0.7,205.500,0,0,0,0,30511.7916,0,-4738.0653,0,0,0
BL1,1,0,9,0.8,205.500,0,0,0,0,26053.5686,0,-11707.247,0,0,0
BL1,1,0,10,0.9,205.500,0,0,0,0,36502.3533,0,-1433.2711,0,0,0
BL1,1,0,11,1,205.500,0,0,0,0,37397.0918,0,-2996.6051,0,0,0
BL1,1,0,12,1.1,205.500,0,0,0,0,25284.191,0,-13477.7898,0,0,0
BL1,1,0,13,1.2,205.500,0,0,0,0,30314.8218,0,-14987.125,0,0,0
BL1,1,0,14,1.3,205.500,0,0,0,0,36989.6844,0,-6306.0563,0,0,0
BL1,1,0,15,1.4,205.500,0,0,0,0,27072.7777,0,-13756.5148,0,0,0
BL1,1,0,16,1.5,205.500,0,0,0,0,31939.6592,0,-10666.2453,0,0,0
BL1,1,0,17,1.6,205.500,0,0,0,0,37919.918,0,-13967.3438,0,0,0
BL1,1,0,18,1.7,205.500,0,0,0,0,27163.774,0,-14463.4198,0,0,0
BL1,1,0,19,1.8,205.500,0,0,0,0,23480.7192,0,-6559.8258,0,0,0
BL1,1,0,20,1.9,205.500,0,0,0,0,31571.9297,0,-15780.3609,0,0,0
BL1,1,0,21,2,205.500,0,0,0,0,33595.5508,0,-12873.0273,0,0,0
BL1,1,0,22,2.1,205.500,0,0,0,0,28116.2076,0,-7783.9819,0,0,0
BL1,1,0,23,2.2,205.500,0,0,0,0,31082.2809,0,-12435.4475,0,0,0
BL1,1,0,24,2.3,205.500,0,0,0,0,24961.0381,0,-14774.3152,0,0,0
BL1,1,0,25,2.4,205.500,0,0,0,0,35393.4584,0,-13709.6047,0,0,0
BL1,1,0,26,2.5,205.500,0,0,0,0,29620.9567,0,-8391.7153,0,0,0
BL1,1,0,27,2.6,205.500,0,0,0,0,26406.4762,0,-10242.8213,0,0,0
BL1,1,0,28,2.7,205.500,0,0,0,0,35714.0365,0,-10879.8937,0,0,0
BL1,1,0,29,2.8,205.500,0,0,0,0,21534.7356,0,-7362.6115,0,0,0
BL1,1,0,30,2.9,205.500,0,0,0,0,36137.9723,0,-8131.9574,0,0,0
BL1,1,0,31,3,205.500,0,0,0,0,29808.9743,0,-8796.2282,0,0,0
BL1,1,0,32,3.1,205.500,0,0,0,0,31284.712,0,-9710.0845,0,0,0
BL1,1,0,33,3.2,205.500,0,0,0,0,28299.044,0,-17544.0683,0,0,0
BL1,1,0,34,3.3,205.500,0,0,0,0,27872.0666,0,-7956.774,0,0,0
BL1,1,0,35,3.4,205.500,0,0,0,0,23725.0146,0,-8524.5382,0,0,0
BL1,1,0,36,3.5,205.500,0,0,0,0,35428.3157,0,-8203.4116,0,0,0
BL1,1,0,37,3.6,205.500,0,0,0,0,28895.316,0,-5258.5342,0,0,0
BL1,1,0,38,3.7,205.500,0,0,0,0,31782.4485,0,-11512.0095,0,0,0
BL1,1,0,39,3.8,205.500,0,0,0,0,29396.9262,0,-13258.4606,0,0,0
BL1,1,0,40,3.9,205.500,0,0,0,0,29224.5444,0,-2625.067,0,0,0
BL1,1,0,41,4,205.500,0,0,0,0,24391.1641,0,-3928.1116,0,0,0
BL1,1,0,42,4.1,205.500,0,0,0,0,25875.9956,0,-13100.6034,0,0,0
BL1,1,0,43,4.2,205.500,0,0,0,0,27676.1407,0,-3790.9465,0,0,0
BL1,1,0,44,4.3,205.500,0,0,0,0,24904.5125,0,-9257.2056,0,0,0
BL1,1,0,45,4.4,205.500,0,0,0,0,35974.7475,0,-12074.3746,0,0,0
BL1,1,0,46,4.5,205.500,0,0,0,0,29017.6443,0,-13990.011,0,0,0
BL1,1,0,47,4.6,205.500,0,0,0,0,27463.1228,0,-8735.4348,0,0,0
BL1,1,0,48,4.7,205.500,0,0,0,0,31950.6295,0,-7833.5254,0,0,0
BL1,1,0,49,4.8,205.500,0,0,0,0,25528.1581,0,-14433.655,0,0,0
BL1,1,0,50,4.9,205.500,0,0,0,0,30143.6229,0,-8366.9933,0,0,0
BL1,1,0,51,5,205.500,0,0,0,0,22538.5209,0,-8731.1184,0,0,0
BL1,1,0,52,5.1,205.500,0,0,0,0,25070.5905,0,-8041.1906,0,0,0
BL1,1,0,53,5.2,205.500,0,0,0,0,31807.7195,0,-7809.4331,0,0,0
BL1,1,0,54,5.3,205.500,0,0,0,0,23136.9926,0,-9158.2562,0,0,0
BL1,1,0,55,5.4,205.500,0,0,0,0,30953.8713,0,-3938.181,0,0,0
BL1,1,0,56,5.5,205.500,0,0,0,0,28819.1033,0,-7810.5611,0,0,0
BL1,1,0,57,5.6,205.500,0,0,0,0,29290.9356,0,-13539.54,0,0,0
BL1,1,0,58,5.7,205.500,0,0,0,0,25725.6023,0,-14227.5803,0,0,0
BL1,1,0,59,5.8,205.500,0,0,0,0,22998.3819,0,2145.1634,0,0,0
BL1,1,0,60,5.9,205.500,0,0,0,0,32761.8725,0,-11681.6575,0,0,0
BL1,1,0,61,6,205.500,0,0,0,0,26474.42,0,-14059.2869,0,0,0
BL1,1,0,62,6.1,205.500,0,0,0,0,30104.4507,0,-4388.202,0,0,0
BL1,1,0,63,6.2,205.500,0,0,0,0,37258.5762,0,-9944.151,0,0,0
BL1,1,0,64,6.3,205.500,0,0,0,0,27311.8085,0,-12997.6225,0,0,0
BL1,1,0,65,6.4,205.500,0,0,0,0,23115.5759,0,-1362.6214,0,0,0
BL1,1,0,66,6.5,205.500,0,0,0,0,15904.2614,0,-11304.5483,0,0,0
BL1,1,0,67,6.6,205.500,0,0,0,0,27865.15,0,-11250.6158,0,0,0
BL1,1,0,68,6.7,205.500,0,0,0,0,28298.2753,0,-10865.0666,0,0,0
BL1,1,0,69,6.8,205.500,0,0,0,0,37118.1578,0,-19567.7019,0,0,0
BL1,1,0,70,6.9,205.500,0,0,0,0,27042.0807,0,-14382.5279,0,0,0
BL1,1,0,71,7,205.500,0,0,0,0,23353.0068,0,-13397.8725,0,0,0
BL1,1,0,72,7.1,205.500,0,0,0,0,31135.013,0,-7170.5761,0,0,0
BL1,1,0,73,7.2,205.500,0,0,0,0,30359.6309,0,-5738.5245,0,0,0
BL1,1,0,74,7.3,205.500,0,0,0,0,34523.2988,0,-4249.5705,0,0,0
BL1,1,0,75,7.4,205.500,0,0,0,0,31731.4194,0,-10772.988,0,0,0
BL1,1,0,76,7.5,205.500,0,0,0,0,32109.8009,0,-10772.5658,0,0,0
BL1,1,0,77,7.6,205.500,0,0,0,0,35652.1373,0,-9407.2229,0,0,0
BL1,1,0,78,7.7,205.500,0,0,0,0,23003.2503,0,-15024.5826,0,0,0
BL1,1,0,79,7.8,205.500,0,0,0,0,34447.072,0,-6751.5831,0,0,0
BL1,1,0,80,7.9,205.500,0,0,0,0,27790.8554,0,-11561.7078,0,0,0
BL1,1,0,81,8,205.500,0,0,0,0,30378.0761,0,-10596.9878,0,0,0
BL1,1,0,82,8.1,205.500,0,0,0,0,27279.9465,0,-12715.7319,0,0,0
BL1,1,0,83,8.2,205.500,0,0,0,0,31720.4253,0,-9600.6149,0,0,0
BL1,1,0,84,8.3,205.500,0,0,0,0,22836.3111,0,-4990.5087,0,0,0
BL1,1,0,85,8.4,205.500,0,0,0,0,29899.8786,0,-7097.9833,0,0,0
BL1,1,0,86,8.5,205.500,0,0,0,0,28622.714,0,-3412.2657,0,0,0
BL1,1,0,87,8.6,205.500,0,0,0,0,32360.5449,0,-9189.1041,0,0,0
BL1,1,0,88,8.7,205.500,0,0,0,0,29841.072,0,-3879.2647,0,0,0
BL1,1,0,89,8.8,205.500,0,0,0,0,32802.1024,0,-5376.0473,0,0,0
BL1,1,0,90,8.9,205.500,0,0,0,0,30972.0326,0,-9386.4159,0,0,0
BL1,1,0,91,9,205.500,0,0,0,0,26524.2544,0,-11826.7829,0,0,0
