Version,1.00
Filename,C:\IonVantage Projects\U-Pb.PRO\Data\981_02PPM B.RAW\981_02PPM B-2052
Sample No,19
Sample ID,981_02PPM B
Sample Type,
Analysis name,
User name,nmm
Method name,C:\IonVantage Projects\U-Pb.PRO\ACQUDB\Pb-4-5-6-7-8 Daly 10-5-5-5-2 seconds
MS Tune file,
Inlet file,
Serial Number,2052
Centre Channel,RM
DataDump Level,CSV-RAW
Acquire Date,Friday 29 July 2016 12:29:2
Cycles per Block,10
Num. Blocks,100
Num. Sequences,5
#START
ID,Block,Cycle,Integ,Time,Mass,Low5,Low4,Low3,Low2,Ax Fara,Axial,High1,High2,High3,High4
BL1,1,0,1,2331.316,203.491,-434949.014380,-396264.809985,-309307.888878,-198960.123676,-100049.264531,0.000000,-7347.936435,107583.396220,205781.157134,307111.455940
BL1,1,0,2,2331.421,203.491,-436951.612990,-399612.504352,-298736.171772,-204515.991472,-102601.270416,0.000000,-7863.131882,96655.710754,194803.708604,300099.227554
BL1,1,0,3,2331.516,203.491,-436643.520900,-403490.132786,-298658.011105,-190565.030927,-88627.315417,0.000000,2080.159328,99697.802720,199994.183146,298336.528658
BL1,1,0,4,2331.621,203.491,-433485.576930,-398548.544380,-301558.431732,-198662.020773,-94857.679152,0.000000,-688.023802,98311.955013,200733.628229,294659.179644
BL1,1,0,5,2331.717,203.491,-446040.329780,-403397.830314,-301347.915221,-200572.367301,-98363.344487,0.000000,-13422.796375,96787.722745,204073.658834,300114.446699
BL1,1,0,6,2331.822,203.491,-434255.807160,-395685.733241,-299409.410631,-200726.840458,-96495.728303,0.000000,-1805.523780,100893.422062,210131.129814,307847.148863
BL1,1,0,7,2331.918,203.491,-438261.004390,-395369.248476,-302294.246193,-206913.727824,-95750.609514,0.000000,-1493.340168,98287.746756,201467.583829,295544.157267
BL1,1,0,8,2332.024,203.491,-441033.833240,-402695.156049,-309869.762412,-206378.548196,-103799.158755,0.000000,1507.641440,108706.630762,204050.075509,301507.258607
BL1,1,0,9,2332.119,203.491,-435411.152520,-397298.013910,-294329.939793,-200061.326640,-98844.428385,0.000000,5688.148889,98253.850102,194680.656036,294326.972999
BL1,1,0,10,2332.224,203.491,-426707.550850,-401155.598396,-290044.797250,-206111.799246,-94948.227086,0.000000,-6114.342749,96805.800573,202024.792932,302333.299267
BL1,1,0,11,2332.320,203.491,-439031.234630,-404759.330109,-302666.819209,-210048.169537,-101666.284065,0.000000,1098.416241,94347.085960,203352.922778,297883.403448
BL1,1,0,12,2332.425,203.491,-437721.843230,-405109.781451,-291374.742795,-206112.555019,-91575.478910,0.000000,1210.308228,94572.482821,202533.091489,294246.326016
BL1,1,0,13,2332.521,203.491,-424627.929210,-405806.751112,-293422.052644,-194977.424839,-103467.186991,0.000000,-432.218985,97157.281311,190954.880001,298759.028107
BL1,1,0,14,2332.621,203.491,-429095.264580,-397106.462395,-299306.373913,-211376.891554,-102609.326791,0.000000,-419.139654,98817.720591,197336.571975,295429.393022
BL1,1,0,15,2332.727,203.491,-427554.804110,-397484.570134,-301939.814152,-194294.955933,-99301.103560,0.000000,896.896076,103012.646118,196731.072377,304717.429889
BL1,1,0,16,2332.822,203.491,-428479.080390,-403848.809920,-298760.325408,-204315.457932,-101036.726200,0.000000,4306.050164,90925.076933,207756.569546,299934.441051
BL1,1,0,17,2332.927,203.491,-423934.722000,-403070.093871,-305837.479675,-200039.590286,-98029.322538,0.000000,-2236.850564,105061.778700,201977.855116,299268.838217
BL1,1,0,18,2333.023,203.491,-438106.958350,-395413.346457,-300356.417329,-201359.200550,-100177.383468,0.000000,8057.886363,94283.089993,203177.127130,303736.175873
BL1,1,0,19,2333.128,203.491,-454820.954470,-399594.600809,-301282.510499,-206443.179863,-98623.233153,0.000000,-7582.008591,98475.925295,200389.912835,293075.565259
BL1,1,0,20,2333.224,203.491,-431945.116460,-399636.268646,-296144.797698,-204196.251569,-103496.195865,0.000000,-1011.340538,96269.771404,203454.539568,301783.712283
BL1,1,0,21,2333.329,203.491,-423395.560830,-395713.679925,-307726.896579,-203253.677112,-104520.914803,0.000000,2591.635334,101067.453202,208032.991293,293713.349081
BL1,1,0,22,2333.425,203.491,-429711.448770,-397992.520243,-297512.618607,-204074.421051,-104878.591595,0.000000,-2340.051197,98251.226655,200110.502876,295177.285371
BL1,1,0,23,2333.530,203.491,-426168.389680,-386655.401403,-305875.441715,-186000.049567,-97532.778554,0.000000,-3848.486707,107233.469580,196623.332695,301362.906403
BL1,1,0,24,2333.626,203.491,-432099.162500,-399041.443820,-295999.533591,-195498.469663,-93183.370207,0.000000,4260.110573,103460.316327,200109.353806,296073.543677
BL1,1,0,25,2333.731,203.491,-436874.589970,-401631.589268,-296663.604523,-204809.122748,-101661.776217,0.000000,-4299.959571,100122.088400,196941.068772,297193.637396
BL1,1,0,26,2333.826,203.491,-432253.208550,-399956.549365,-295350.037057,-197435.517419,-100695.807504,0.000000,-4059.347079,90589.045172,200352.540557,294238.778310
BL1,1,0,27,2333.931,203.491,-427169.688990,-397126.042887,-296616.324944,-204796.100461,-99626.962797,0.000000,-7486.428683,106847.667234,195783.908454,300629.666403
BL1,1,0,28,2334.027,203.491,-452895.378880,-403146.306762,-296863.616881,-193637.372971,-98603.074910,0.000000,1734.796924,99506.920621,201972.871557,294477.107856
BL1,1,0,29,2334.132,203.491,-421469.985240,-392324.210703,-300031.512487,-198068.420965,-103287.480502,0.000000,5454.512683,102474.697519,204355.028771,298017.024569
BL1,1,0,30,2334.228,203.491,-439570.395790,-396301.860093,-294244.296801,-201511.916659,-94190.781951,0.000000,-3038.821212,96274.290034,197399.576392,302273.194667
BL1,1,0,31,2334.333,203.491,-433100.461810,-401820.649260,-305520.104769,-196103.787593,-92610.100858,0.000000,-879.243855,101497.808935,195328.726467,307353.311853
BL1,1,0,32,2334.429,203.491,-434332.830190,-409312.944855,-301343.979899,-198376.232329,-100326.202292,0.000000,-5214.611316,98020.280254,205350.209173,303239.960428
BL1,1,0,33,2334.534,203.491,-430327.632960,-392760.222591,-299416.593998,-205883.525742,-93396.963175,0.000000,4043.537599,86538.476124,201077.477182,294482.380390
BL1,1,0,34,2334.630,203.491,-435334.129500,-398552.680533,-301206.599666,-196942.578335,-88874.377330,0.000000,3093.660861,102361.114641,198900.881352,311167.655094
BL1,1,0,35,2334.735,203.491,-412073.176360,-403590.314132,-300272.289034,-194007.449862,-100447.975374,0.000000,4041.798925,105154.161301,203609.913294,299530.972283
BL1,1,0,36,2334.831,203.491,-428016.942250,-393550.232435,-289387.020064,-203181.045028,-100815.064568,0.000000,-5520.586751,105478.941336,199193.503934,295496.365259
BL1,1,0,37,2334.931,203.491,-423087.468740,-396256.597036,-299043.235077,-202974.699555,-94212.259526,0.000000,-387.673484,96724.052540,207941.150978,295759.830754
BL1,1,0,38,2335.037,203.491,-436181.382760,-396471.090106,-301638.827643,-189416.557178,-97636.097690,0.000000,4309.529297,95082.245873,196929.085703,300068.697356
BL1,1,0,39,2335.132,203.491,-433947.715070,-396787.723794,-303376.069219,-201117.383708,-97025.739869,0.000000,-7814.580212,103052.215562,202548.927497,297353.351388
BL1,1,0,40,2335.237,203.491,-423780.675950,-399871.851025,-304543.908907,-203427.023656,-97110.703409,0.000000,533.347532,103239.166232,198266.069480,291145.957667
BL1,1,0,41,2335.333,203.491,-440032.533940,-392133.801108,-297680.071827,-194581.875978,-98609.053049,0.000000,2090.733882,101401.256701,205140.270022,302450.260119
BL1,1,0,42,2335.438,203.491,-425321.136420,-400705.467913,-308689.822041,-202565.576231,-100959.877919,0.000000,-314.255031,96453.861944,190640.290673,293782.461315
BL1,1,0,43,2335.534,203.491,-445963.306750,-393701.785706,-309245.824356,-194726.717351,-103919.561352,0.000000,-4628.844274,102614.127071,188317.658673,297728.462582
BL1,1,0,44,2335.639,203.491,-430943.817150,-408127.644301,-295026.428794,-202176.628071,-88900.771117,0.000000,15044.356910,96009.066962,198924.636213,299257.765496
BL1,1,0,45,2335.735,203.491,-435565.198570,-401611.357411,-300273.216556,-188745.759771,-100085.257003,0.000000,-10592.065544,109777.038804,197312.914251,291878.007974
BL1,1,0,46,2335.840,203.491,-437105.659040,-407207.633803,-303991.428598,-201380.857821,-100116.102843,0.000000,123.035662,96184.814440,201277.126196,293502.433675
BL1,1,0,47,2335.935,203.491,-436951.612990,-398048.336985,-290642.312188,-196061.940765,-103662.601313,0.000000,683.292948,99133.115740,197470.469274,303421.652246
BL1,1,0,48,2336.040,203.491,-434949.014380,-393772.236403,-297730.156667,-200940.656788,-91849.184195,0.000000,-5803.030692,110303.674063,197938.707602,300057.881982
