AtomicNumber,Element,Symbol,AtomicMass,TripoliRow,TripoliCol
1,Hydrogen,H,1.007,1,1
2,Helium,He,4.002,1,19
3,Lithium,Li,6.941,2,1
4,Beryllium,Be,9.012,2,2
5,Boron,B,10.811,2,14
6,Carbon,C,12.011,2,15
7,Nitrogen,N,14.007,2,16
8,Oxygen,O,15.999,2,17
9,Fluorine,F,18.998,2,18
10,Neon,Ne,20.18,2,19
11,Sodium,Na,22.99,3,1
12,Magnesium,Mg,24.305,3,2
13,Aluminum,Al,26.982,3,14
14,Silicon,Si,28.086,3,15
15,Phosphorus,P,30.974,3,16
16,Sulfur,S,32.065,3,17
17,Chlorine,Cl,35.453,3,18
18,Argon,Ar,39.948,3,19
19,Potassium,K,39.098,4,1
20,Calcium,Ca,40.078,4,2
21,Scandium,Sc,44.956,4,4
22,Titanium,Ti,47.867,4,5
23,Vanadium,V,50.942,4,6
24,Chromium,Cr,51.996,4,7
25,Manganese,Mn,54.938,4,8
26,Iron,Fe,55.845,4,9
27,Cobalt,Co,58.933,4,10
28,Nickel,Ni,58.693,4,11
29,Copper,Cu,63.546,4,12
30,Zinc,Zn,65.38,4,13
31,Gallium,Ga,69.723,4,14
32,Germanium,Ge,72.64,4,15
33,Arsenic,As,74.922,4,16
34,Selenium,Se,78.96,4,17
35,Bromine,Br,79.904,4,18
36,Krypton,Kr,83.798,4,19
37,Rubidium,Rb,85.468,5,1
38,Strontium,Sr,87.62,5,2
39,Yttrium,Y,88.906,5,4
40,Zirconium,Zr,91.224,5,5
41,Niobium,Nb,92.906,5,6
42,Molybdenum,Mo,95.96,5,7
43,Technetium,Tc,98,5,8
44,Ruthenium,Ru,101.07,5,9
45,Rhodium,Rh,102.906,5,10
46,Palladium,Pd,106.42,5,11
47,Silver,Ag,107.868,5,12
48,Cadmium,Cd,112.411,5,13
49,Indium,In,114.818,5,14
50,Tin,Sn,118.71,5,15
51,Antimony,Sb,121.76,5,16
52,Tellurium,Te,127.6,5,17
53,Iodine,I,126.904,5,18
54,Xenon,Xe,131.293,5,19
55,Cesium,Cs,132.905,6,1
56,Barium,Ba,137.327,6,2
57,Lanthanum,La,138.905,9,4
58,Cerium,Ce,140.116,9,5
59,Praseodymium,Pr,140.908,9,6
60,Neodymium,Nd,144.242,9,7
61,Promethium,Pm,145,9,8
62,Samarium,Sm,150.36,9,9
63,Europium,Eu,151.964,9,10
64,Gadolinium,Gd,157.25,9,11
65,Terbium,Tb,158.925,9,12
66,Dysprosium,Dy,162.5,9,13
67,Holmium,Ho,164.93,9,14
68,Erbium,Er,167.259,9,15
69,Thulium,Tm,168.934,9,16
70,Ytterbium,Yb,173.054,9,17
71,Lutetium,Lu,174.967,6,4
72,Hafnium,Hf,178.49,6,5
73,Tantalum,Ta,180.948,6,6
74,Tungsten,W,183.84,6,7
75,Rhenium,Re,186.207,6,8
76,Osmium,Os,190.23,6,9
77,Iridium,Ir,192.217,6,10
78,Platinum,Pt,195.084,6,11
79,Gold,Au,196.967,6,12
80,Mercury,Hg,200.59,6,13
81,Thallium,Tl,204.383,6,14
82,Lead,Pb,207.2,6,15
83,Bismuth,Bi,208.98,6,16
84,Polonium,Po,210,6,17
85,Astatine,At,210,6,18
86,Radon,Rn,222,6,19
87,Francium,Fr,223,7,1
88,Radium,Ra,226,7,2
89,Actinium,Ac,227,10,4
90,Thorium,Th,232.038,10,5
91,Protactinium,Pa,231.036,10,6
92,Uranium,U,238.029,10,7
93,Neptunium,Np,237,10,8
94,Plutonium,Pu,244,10,9
95,Americium,Am,243,10,10
96,Curium,Cm,247,10,11
97,Berkelium,Bk,247,10,12
98,Californium,Cf,251,10,13
99,Einsteinium,Es,252,10,14
100,Fermium,Fm,257,10,15
101,Mendelevium,Md,258,10,16
102,Nobelium,No,259,10,17
103,Lawrencium,Lr,262,7,4
104,Rutherfordium,Rf,261,7,5
105,Dubnium,Db,262,7,6
106,Seaborgium,Sg,266,7,7
107,Bohrium,Bh,264,7,8
108,Hassium,Hs,267,7,9
109,Meitnerium,Mt,268,7,10
110,Darmstadtium ,Ds ,271,7,11
111,Roentgenium ,Rg ,272,7,12
112,Copernicium ,Cn ,285,7,13
113,Nihonium,Nh,284,7,14
114,Flerovium,Fl,289,7,15
115,Moscovium,Mc,288,7,16
116,Livermorium,Lv,292,7,17
117,Tennessine,Ts,295,7,18
118,Oganesson,Og,294,7,19
