z,n,symbol,% abundance,half_life annum,atomic_mass AMU
0,1,n, ,613.9,1.0086649159
0,4,n, ,2.6,#VALUE!
0,6,n, , ,#VALUE!
1,0,H,99.9855,STABLE,1.007825031898
1,1,H,0.0145,STABLE,2.014101777844
1,2,H, ,12.32,3.01604928132
1,3,H, , ,4.026431867
1,4,H, ,5.3,5.035311492
1,5,H, ,1.55,6.044955437
1,6,H, ,0.09,7.052749
2,1,He,0.0002,STABLE,3.01602932197
2,2,He,99.9998,STABLE,4.00260325413
2,3,He, ,0.648,5.012057224
2,4,He, ,806.7,6.018885889
2,5,He, ,150,7.027990652
2,6,He, ,119.1,8.033934388
2,7,He, , ,9.043946414
2,8,He, ,300,10.052815306
3,1,Li, , ,4.027185561
3,2,Li, ,1.23,5.0125378
3,3,Li,4.85,STABLE,6.01512288742
3,4,Li,95.15,STABLE,7.01600343426
3,5,Li, ,839.9,8.022486244
3,6,Li, ,178.3,9.026790191
3,7,Li, , ,10.035483453
3,8,Li, ,8.75,11.043723581
3,9,LI, , ,12.052613942
4,2,Be, ,92,6.019726409
4,3,Be, ,53.22,7.016928714
4,4,Be, ,5.57,8.005305102
4,5,Be,100,STABLE,9.012183062
4,6,Be, ,1510000,10.013534692
4,7,Be, ,13.76,11.02166108
4,8,Be, ,21.46,12.026922082
4,9,Be, ,2.7E-21,13.036134506
4,10,Be, ,4.35,14.04289292
4,11,Be, ,0.58,15.053490215
4,12,Be, ,0.8,16.061672036
5,2,B, ,801,7.029712
5,3,B, ,770,8.024607315
5,4,B, ,0.54,9.013329645
5,5,B,19.65,STABLE,10.012936862
5,6,B,80.35,STABLE,11.009305166
5,7,B, ,20.2,12.014352638
5,8,B, ,17.33,13.017779981
5,9,B, ,12.5,14.02540401
5,10,B, ,9.93,15.031087023
5,11,B, ,100,16.039841045
5,12,B, ,5.08,17.046931399
5,13,B, , ,18.055601683
5,14,B, ,2.92,19.064166
5,15,B, ,500,20.074505644
5,16,B, ,600,21.084147485
6,2,C, ,130,8.037643039
6,3,C, ,126.5,9.031037202
6,4,C, ,19.29,10.016853217
6,5,C, ,20.364,11.011432597
6,6,C,98.94,STABLE,12
6,7,C,1.06,STABLE,13.00335483534
6,8,C, ,5700,14.00324198862
6,9,C, ,2.449,15.010599256
6,10,C, ,0.747,16.014701255
6,11,C, ,193,17.02257865
6,12,C, ,92,18.02675193
6,13,C, ,46.3,19.034797594
6,14,C, ,16.3,20.040261732
6,16,C, ,6.1,22.05755399
7,3,N, ,2.5,10.04165354
7,4,N, ,830,11.026157593
7,5,N, ,11,12.01861318
7,6,N, ,9.965,13.005738609
7,7,N,99.6205,STABLE,14.00307400425
7,8,N,0.3795,STABLE,15.00010889827
7,9,N, ,7.13,16.006101925
7,10,N, ,4.173,17.008448876
7,11,N, ,619,18.014077563
7,12,N, ,336,19.017022389
7,13,N, ,134.4,20.023367295
7,14,N, ,84,21.027087573
7,15,N, ,23,22.034100918
7,16,N, ,14.1,23.039421
7,17,N, ,52,24.05039
8,3,O, ,1.3,11.051249828
8,4,O, ,72,12.034367726
8,5,O, ,8.58,13.024815435
8,6,O, ,70.606,14.008596706
8,7,O, ,122.24,15.003065636
8,8,O,99.757,STABLE,15.99491461926
8,9,O,0.03835,STABLE,16.99913175595
8,10,O,0.2045,STABLE,17.99915961214
8,11,O, ,26.88,19.003577969
8,12,O, ,13.51,20.004075357
8,13,O, ,3.42,21.008654948
8,14,O, ,2.25,22.009965744
8,15,O, ,97,23.015696686
8,16,O, ,65,24.019861
8,18,O, ,4.5,26.037210155
9,4,F, ,1.01,13.045121
9,5,F, ,910,14.034315196
9,6,F, ,660,15.017785139
9,7,F, ,40,16.011460278
9,8,F, ,64.49,17.002095237
9,9,F, ,109.77,18.000937324
9,10,F,100,STABLE,18.99840316207
9,11,F, ,11.07,19.999981252
9,12,F, ,4.158,20.999948893
9,13,F, ,4.23,22.002998812
9,14,F, ,2.23,23.003526875
9,15,F, ,390,24.00809937
9,16,F, ,80,25.012167727
9,17,F, ,8.2,26.020048065
9,18,F, ,5,27.026981897
9,19,F, ,0.046,28.035860448
9,20,F, ,2.5,29.043103
9,21,F, , ,30.052561
9,22,F, ,260,31.061023
10,5,Ne, ,0.59,15.043172977
10,6,Ne, ,80,16.02575086
10,7,Ne, ,109.2,17.017713962
10,8,Ne, ,1672,18.005708696
10,9,Ne, ,17.22,19.001880906
10,10,Ne,90.48,STABLE,19.99244017525
10,11,Ne,0.27,STABLE,20.993846685
10,12,Ne,9.25,STABLE,21.991385113
10,13,Ne, ,37.25,22.994466905
10,14,Ne, ,3.38,23.993610649
10,15,Ne, ,602,24.997814797
10,16,Ne, ,197,26.000516496
10,17,Ne, ,31.5,27.007569462
10,18,Ne, ,20,28.012130767
10,19,Ne, ,15,29.019753
10,20,Ne, ,7.3,30.024992235
10,21,Ne, ,3.4,31.033474816
10,22,Ne, ,3.5,32.03972
10,23,Ne, ,180,33.049523
10,24,Ne, ,60,34.056728
11,6,Na, , ,17.037273
11,7,Na, ,0.2,18.026879388
11,8,Na, ,40,19.013880264
11,9,Na, ,447.9,20.007354301
11,10,Na, ,22.49,20.997654459
11,11,Na, ,2.6018,21.994437547
11,12,Na,100,STABLE,22.98976928195
11,13,Na, ,14.997,23.990963012
11,14,Na, ,59.1,24.989953974
11,15,Na, ,1.07128,25.992634649
11,16,Na, ,301,26.994076408
11,17,Na, ,30.5,27.998939
11,18,Na, ,44.1,29.002877091
11,19,Na, ,48,30.009097931
11,20,Na, ,17.35,31.013146654
11,21,Na, ,13.2,32.020011024
11,22,Na, ,8,33.025529
11,23,Na, ,5.5,34.03401
11,24,Na, ,1.8,35.040614
11,25,Na, ,180,36.049279
11,26,Na, ,60,37.057042
12,7,Mg, ,0.000114,19.03417992
12,8,Mg, ,90.4,20.018763075
12,9,Mg, ,122,21.011705764
12,10,Mg, ,3.8755,21.999570597
12,11,Mg, ,11.3046,22.994123768
12,12,Mg,78.965,STABLE,23.985041689
12,13,Mg,10.011,STABLE,24.985836966
12,14,Mg,11.025,STABLE,25.982592972
12,15,Mg, ,9.458,26.984340647
12,16,Mg, ,20.915,27.983875426
12,17,Mg, ,1.3,28.988607163
12,18,Mg, ,335,29.990465454
12,19,Mg, ,236,30.996648232
12,20,Mg, ,86,31.999110138
12,21,Mg, ,90.5,33.005327862
12,22,Mg, ,20,34.008935455
12,23,Mg, ,11.3,35.01679
12,24,Mg, ,7.6,36.021879
12,25,Mg, ,8,37.030286265
12,26,Mg, , ,38.03658
12,27,Mg, ,180,39.045921
12,28,Mg, , ,40.053194
13,8,Al, ,35,21.029082
13,9,Al, ,91.1,22.01954
13,10,Al, ,446,23.007244351
13,11,Al, ,2.053,23.999947598
13,12,Al, ,7.183,24.990428308
13,13,Al, ,717000,25.986891876
13,14,Al,100,STABLE,26.981538408
13,15,Al, ,2.245,27.981910009
13,16,Al, ,6.56,28.980453164
13,17,Al, ,3.62,29.982969171
13,18,Al, ,644,30.983949754
13,19,Al, ,33,31.988084338
13,20,Al, ,41.7,32.990877685
13,21,Al, ,56.3,33.996781924
13,22,Al, ,38.3,34.999759816
13,23,Al, ,90,36.006388
13,24,Al, ,10.7,37.010531
13,25,Al, ,9,38.017681
13,26,Al, ,7.6,39.02307
13,27,Al, ,260,40.03094
13,28,Al, , ,41.037134
13,29,Al, ,170,42.045078
13,30,Al, ,170,43.05182
14,8,Si, ,29,22.036114
14,9,Si, ,42.3,23.025711
14,10,Si, ,140,24.01153543
14,11,Si, ,220,25.004108798
14,12,Si, ,2.2453,25.992333818
14,13,Si, ,4.15,26.986704687
