z,n,symbol,radius,unc_r,abundance,abundance_unc,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,Extraction_date
0,1,n,-0.1149,27, ,, ,0, , ,1/2+,613.9, ,6,s,613.9,0.6,B-,100, , , , , , , , ,-1.9130427, , , ,782.347,4, ,, ,, ,,0.0,0, ,,0,0,1008664.9159,47,8071.31806,44,2022-03-28
0,4,n, ,, ,, ,0, , ,0+,2.6,LT, ,MeV,1.7547604425822527e-22,0, , , , , , , , , , , , , , , , ,, , , ,, ,, ,, , , , , ,, ,2022-03-28
0,6,n, ,, ,, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,, ,, ,, , , , , ,, ,2022-03-28
1,0,H,0.8783,86,99.9855,78, ,0, , ,1/2+,STABLE, , , , , , , , , , , , , , , ,2.792847351, , , , ,, ,, ,,-782.347,0, ,,0.0,0,0,0,1007825.031898,14,7288.971064,13,2022-03-28
1,1,H,2.1421,88,0.0145,78, ,0, , ,1+,STABLE, , , , , , , , , , , , , , , ,0.85743823, ,0.00286, , ,, ,, ,, ,,2224.5662,4,2224.5662,4,1112.2831,2,2014101.777844,15,13135.722895,15,2022-03-28
1,2,H,1.7591,363, ,, ,0, , ,1/2+,12.32, ,2,Y,388781328.00697345,631138.51949184,B-,100, , , , , , , , ,2.978962467, , , ,18.59202,6, ,, ,, ,,6257.2301,4, ,,2827.2654,3,3016049.28132,8,14949.81090,8,2022-03-28
1,3,H, ,, ,, ,0, , ,2-, , , , , , ,N,100, , , , , , , ,1, , , , ,22196.2131,1000000,1618.5921,100, ,, ,,-1600.0000,100, ,,1720.4491,250000,4026431.867,107354,24621.129,100000,2022-03-28
1,4,H, ,, ,, ,0, , ,(1/2+),5.3, ,4,MeV,8.608258774931805e-23,6.4967990754202316e-24,2N,100, , , , , , , , , , , , ,21661.2131,916515,22396.2132,89, ,, ,,-200.0000,134, ,,1336.3592,178885,5035311.492,96020,32892.447,89443,2022-03-28
1,5,H, ,, ,, ,0, , , ,1.55, ,44,MeV,2.943469129492811e-22,8.355654303076366e-23, , , , , , , , , , , , , , ,24283.6294,2541268,22573.1725,255, ,, ,,-911.9594,269, ,,961.6395,423545,6044955.437,272816,41875.725,254127,2022-03-28
1,6,H, ,, ,, ,0, , ,(1/2+),0.09, ,+94-6,MeV,5.069307945237619e-21,2.816282191798677e-20, , , , , , , , , , , , , , ,23062,1004,23472,1004, ,, ,,812,1036, ,,940,143,7052749,1078,49135,1004,2022-03-28
